Reviewer_Name,Review_Count,Avg_Rating,Rating_Range,Max_Reviews_Same_Day,Unique_Days,Unique_Labels,Flag_Velocity,Flag_No_Variance,Flag_High_Volume,Flag_Sentiment_Flip,Suspicion_Score,Suspicion_Tier
ASWIN NAMBIAR123,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Aathirai K,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Abarna S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Abinaya K,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Alice Annamani Hepzibah J,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Ambika S,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Amjathkhan L,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Amudha K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Anbu K,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Annalakshmi M,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Arun Venkatesan,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Arun bala kumar,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Ashwin Babu,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Ashwin R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Babu R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Backiyalakshmi M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Bakiyalakshmi R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Bala K,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Bala meena,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Balaji R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Banumathi R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Banupriya S,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Bharathi Boobalan,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Bharathi K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Brindha M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Carnation R,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Celina R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Chandra S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Chandran M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Chellam R,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Chellammal S,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Chitra V,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Choodamani S,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Daisy S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Deepa M,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Deepalakshmi R,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Deivanai M,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Devayane,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Devi S,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Dhakshinamoorthi MK,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Dhanalakshmi M,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Dhanamani K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Dharani M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Dinesh P,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Divya Prasanna,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Dr. Chella,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Dr. Malathi Padmanaban,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Durga N,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Elakiya Anand,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Elamathi K,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Elango P,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Elavarasi P,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Esakkiammal K,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Esther K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Eswaran P,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Eswari M,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Ezhil P,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Fahima Hairunnisa J,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Faisal R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Farida S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Fathima B,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Felicia R,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Femi R,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Firdose R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Florina M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Ganesh T,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Ganga S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Ganthimathi S,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Geetha S,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Girija K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Gnanambal R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Gomathi R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Gopal S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Gowri M,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Gowsalya Kannan,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Gowtham KD,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Gracy S,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Hameed S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Hamsa K,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Hannah M,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Hari prakash,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Haripriya K,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Harish G,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Harish Raja,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Haseena K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Hema Latha,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Hema R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Hemambigai K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Hemavathi S,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Ilakiya M,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Ilakumari R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Ilampirai K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Ilavarasi M,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Indira S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Indumathi R,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Irene K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Iyanar M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Jagadeeswari S,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Jamuna Rajaram,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Janaki R,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Janani C,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Janarthani S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Jansi S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Jarja Saravanan,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Jaya K,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Jayanthi R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Jayasri Prabhu,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Jenila Sree,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Jeyanthi R,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Jothimani S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
K A N D Y,1,4.0,0,1,1,1,0,0,0,0,0,Clean
KRISHNA k,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Kala V,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Kalai S,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Kalavathy M,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Kalpagam M,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Kamakshi S,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Kamala R,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Kamalam R,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Kannan,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Karthick,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Karthik Shridar,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Karunanithi Muthaiyah,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Kavitha M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Kumar V,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Lakshmi V,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Lakshmikantham R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Lalitha V,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Latha M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Lavanya Senthil,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Leela M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Leelambikai M,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Leelavathi M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Lilavathi R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Logeswaran Anandan,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Logu P,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Lokesh Chakkarapani,1,5.0,0,1,1,1,0,0,0,0,0,Clean
MP SK BOY CHANNEL,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Madhan G,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Malar S,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Malarvizhi S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Mangai K,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Mangaiyarkarasi S,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Manikanta Gutti,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Manoj B,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Maragatham S,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Massive mahendaran,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Meenakshi R,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Meenal S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Melchizedek Prabu,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Mohnish Francis,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Moral Humility,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Murugan K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Muthukumar thillai,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Nagar K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Nalini C,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Nallathambi K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Narayani K,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Narmadha P,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Neelaveni S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Neetha K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Nirmal K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Nishanth Sai,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Nithya B,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Nithya Lakshmi narasimhan,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Omana K,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Oomayal R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Oormila S,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Oorvasi R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Oviya M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Oviya R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Padma S,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Padmavathi R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Pandiyan R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Parveen S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Pechiyammal R,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Prakash S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Prashanth,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Praveen M,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Preethi S,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Prema R,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Priya Baskar,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Priyadharshini S,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Queen M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Queen N,1,1.0,0,1,1,1,0,0,0,0,0,Clean
R Mohanamurali,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Radha S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Raghavan Raghu,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Rajalakshmi S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Rajamani K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Rajan T,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Rajeev Rajendran,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Rajesh Ragi,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Rajeswari S,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Rajiv B,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Ram achandran,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Ramesh Maha,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Ramya Asok,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Rani S,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Redha,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Rekha N,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Revathi P,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Revathy M,1,5.0,0,1,1,1,0,0,0,0,0,Clean
S. Annapoorani,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Sakunthala M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Sangeetha L,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Sanjeev Gunasekaran,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Saraswathi V,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Saravanakumar Kanapathy,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Saroja K,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Sathish K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Savitha M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Seethalakshmi M,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Selvam K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Senthil V,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Shalini D,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Shanthi Dhara shri,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Shanthi S,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Shoba Krishna kanthan,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Sindhu Kavi T,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Sindhuja Jayaraman,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Siva M,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Sivakumar O S,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Sivneshwar Duraikannan,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Sreshta Hari,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Sruthi Guna,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Swathi,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Swetha K,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Tamilselvi K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Teena Cookie,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Thangam P,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Thayammal K,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Thenmozhi P,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Thilaga K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Thilagavathi R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Udayalakshmi R,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Uma P,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Uma V,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Umadevi S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Umarani V,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Umaselvi Maruthaiah,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Umayal R,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Usha R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Valliammai S,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Vasanth M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Vasantha M,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Venkat Prashanth,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Venkatesh M,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Vennila S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Vignesh A,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Vignesh kumar Prakash,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Vijayabaskar Manoharan,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Vijayalakshmi M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Viji Balasubramanian,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Vishnu Prasath,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Waheeda K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Wahida S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Watsa K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Wesly R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Wilma K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Xavier K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Xavier Raja,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Xavierammal R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Ximena R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Yamini M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Yamuna R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Yamunadevi S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Yashoda S,2,2.5,1,1,2,1,0,0,0,0,0,Clean
Yazhini K,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Yeshwant Rajchander,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Yonika Bose,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Zahira M,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Zainab R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Zareena M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Zeenath R,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Zohra K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Zubair S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
arul selvaraj,1,4.0,0,1,1,1,0,0,0,0,0,Clean
bhuaneswaran palaniyandi,1,5.0,0,1,1,1,0,0,0,0,0,Clean
chandra sekaran,1,5.0,0,1,1,1,0,0,0,0,0,Clean
dhilip rani,1,5.0,0,1,1,1,0,0,0,0,0,Clean
gautham ravi,1,5.0,0,1,1,1,0,0,0,0,0,Clean
hariharan .s,1,5.0,0,1,1,1,0,0,0,0,0,Clean
k p Sriram,1,5.0,0,1,1,1,0,0,0,0,0,Clean
kannan dsp,1,5.0,0,1,1,1,0,0,0,0,0,Clean
kavi malar,1,5.0,0,1,1,1,0,0,0,0,0,Clean
mohan rangan,1,5.0,0,1,1,1,0,0,0,0,0,Clean
nivetha devarajan,1,4.0,0,1,1,1,0,0,0,0,0,Clean
parvathy priya,1,5.0,0,1,1,1,0,0,0,0,0,Clean
seenivasan ramanujam,1,5.0,0,1,1,1,0,0,0,0,0,Clean
senthil kumaran,1,5.0,0,1,1,1,0,0,0,0,0,Clean
shahnaaz sayima,1,5.0,0,1,1,1,0,0,0,0,0,Clean
shanmuga priya,1,4.0,0,1,1,1,0,0,0,0,0,Clean
sridhar,1,5.0,0,1,1,1,0,0,0,0,0,Clean
subashini pandiyan,1,3.0,0,1,1,1,0,0,0,0,0,Clean
sumithra B,1,5.0,0,1,1,1,0,0,0,0,0,Clean
suriya gunasekaran,1,5.0,0,1,1,1,0,0,0,0,0,Clean
vanitha mariappan,1,5.0,0,1,1,1,0,0,0,0,0,Clean
vijayalakshmi R,1,4.0,0,1,1,1,0,0,0,0,0,Clean
